"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 16:57:26 GMT 2024","Wed Jul 10 16:57:33 GMT 2024","6783","CrossBrowser","ChromeTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jul 10 16:57:37 GMT 2024","Wed Jul 10 16:57:38 GMT 2024","1647","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 16:57:50 GMT 2024","Wed Jul 10 16:57:59 GMT 2024","8519","CrossBrowser","FirefoxTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jul 10 16:57:26 GMT 2024","Wed Jul 10 16:57:29 GMT 2024","2467","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"unknown","Wed Jul 10 16:57:17 GMT 2024","Wed Jul 10 16:57:17 GMT 2024","1","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Wed Jul 10 16:57:17 GMT 2024","Wed Jul 10 16:57:17 GMT 2024","9","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Wed Jul 10 16:57:33 GMT 2024","Wed Jul 10 16:57:36 GMT 2024","2960","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 16:57:26 GMT 2024","Wed Jul 10 16:57:30 GMT 2024","3702","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 16:57:50 GMT 2024","Wed Jul 10 16:57:54 GMT 2024","3333","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Wed Jul 10 16:57:33 GMT 2024","Wed Jul 10 16:57:39 GMT 2024","5502","CrossBrowser","ChromiumTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jul 10 16:57:33 GMT 2024","Wed Jul 10 16:57:36 GMT 2024","2285","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Wed Jul 10 16:57:50 GMT 2024","Wed Jul 10 16:57:55 GMT 2024","4712","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 16:57:58 GMT 2024","Wed Jul 10 16:58:01 GMT 2024","3456","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jul 10 16:57:30 GMT 2024","Wed Jul 10 16:57:33 GMT 2024","2965","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
